cod_cns;descricao;idtipo;assunto;resposta;cadData;aadResp
147.11-6;Que horas?;1;Almoço jjjjjjjjjjjjjjjjjjjjjjjjjj;Vai ficar com fome.;19/12/2016 10:41;19/12/2016 10:42
18.56-4;SOLICITO DE V.S. EM INFORMAR UMA DUVIDA, NO MEU CASO, CARTÓRIO DE DISTRITO PODERÁ LAVRAR ESCRITURA DE DIVÓRCIO EXTRAJUDICIAL CONSENSUAL, HAJA VISTA NO SISTEMA DE INFORMAÇÃO QUINZENAL DO CENSESC EXISTE UM LINK PARA INFORMAÇÕES DE DIVÓRCIO REALIZAD...;2;DIVÓRCIO DIRETO EXTRAJUDICIAL CONSENSUAL;Prezado colega,   Os Cartórios de Distritos Judiciários não possuem atribuição legal para a lavratura de quaisquer Escrituras Públicas, sejam Escrituras Declaratórias, de Divórcio, Pacto Antenupcial, etc., por ausência de expressa disposição...;19/01/2017 16:13;31/01/2017 12:42
15.48-7;Bom dia. Gostaria que alguém me informasse como realizar o cadastro do Cartório para enviar as  procurações. Obrigada.;2;Provimento nº 18/2012 Censec;Boa Tarde, Informamos que é necessário que seja feito um cadastro do cartório junto ao CENSEC. O cartório deverá encaminhar para o cadastro.censec@notariado.org.br externando o interesse de fazer o cadastro, enviando no mesmo email os dados do ca...;03/03/2017 10:40;10/04/2017 14:28
16.45-1;As inscrições para o CURSO PRÁTICO PARA SERVENTIAS NOTARIAIS E REGISTRAIS, Publicado em 08/03/2017, ainda estão disponíveis? Onde encontro o link para acesso?;2;INFORMAÇÕES;Todos os detalhes quanto as datas estão disponíveis na publicação. La também você encontra os links para inscrição e o telefone de contato do IDNR que é quem está realizando os cursos.  ;16/03/2017 10:34;16/03/2017 10:53
17.84-8;Boa tarde! Prezada Dra. Helena, Estou com uma cliente que tem uma tia que deseja vender um de seus imóveis, ela é solteira, não tem filhos e tem 90 anos, segundo a sobrinha, ela é lúcida, e por motivo de saúde precisa se desfazer de seus bens...;5;Venda de Imóvel - Vendedor com idade de 90 anos;123;08/06/2017 16:42;06/10/2021 08:15
17.84-8;Dra. Helena, boa tarde, Se possível me tire mais uma dúvida. Gostaria de saber se o CONTRATO SOCIAL, uma vez Registrado no Livro de Registro de Pessoas Jurídicas, porém sem nenhuma movimentação junto a RFB, pode ser cancelado pelo Cartório q...;3;CONTRATO SOCIAL;;30/06/2017 15:44;30/06/2017 15:44
137.59-6;Pelo presente, submeto a essa r. Associação (Anoreg-CE) que digne esclarecer como proceder a cobrança de emolumentos para lavratura de escritura pública em um único instrumento, sob minuta apresentada por advogado(a), contendo os seguintes atos e re...;1;COBRANÇA DE EMOLUMENTOS;Fortaleza, 24 de julho de 2017   OFÍCIO Nº 03/2017   Referente: Ofício nº.110/2017 de 20.07.2017 –  1° Ofício Extrajudicial de Sobral/CE     Ilustríssimo Senhor,     Cumprimentando-o cordialmente e em resposta ao Ofício nº.110/2...;20/07/2017 15:20;25/07/2017 15:04
16.45-1;Está sendo lançado concurso para Cartórios.Onde posso encontrar a relação dos cartórios que estão vagos no Estado do Ceará????????;1;Relação dos cartorios vagos no Estado do Ceará;Bom dia, Em contato com a comissão que está gerenciando o concurso, nos foi informado que a comissão ainda não tem a lista dos cartórios, que ainda estão fazendo o levantamento.;08/08/2017 13:04;09/08/2017 09:04
17.84-8;Boa tarde! Prezada Dra. Helena,                 Um cliente possui um imóvel constituído por um lote de terreno vago, com uma área de 163,10m², onde o mesmo esta registrado nesta serventia, nela não há nenhuma averbação de construção. ...;1;Averbação de imóvel;;05/10/2017 14:53;05/10/2017 14:53
154.13-8;Minha serventia é de Registro Civil distrital, a movimentação em dinheiro não é suficiente para algumas despesas que o serviço gratuito necessita, então como faço para adquirir um computador como vejo muitas serventias sendo contempladas?;2;Material de trabalho;Bom dia, Solicitamos que envie um ofício com essa solicitação para o SINOREDI no email contato@sinoredice.org.br Atenciosamente;09/01/2018 14:55;14/09/2018 11:03
15.90-9;Um imóvel rural objeto de escritura pública de venda e compra, o qual será desmembrado, se faz necessário apor o ciente dos confinantes na planta/croqui? Se necessário ou não, em que posso ter base na Lei 6.015/73?   ;1;Esc Puc / Reg Imovel;Primeiramente, em relação à compra e venda: ao que parece, primeiramente as partes vão realizar a compra e venda de imóvel rural, e, pelo que restou compreendido na pergunta, em sua totalidade (e não em fração ideal, que teria de obedecer à FMP ...;23/03/2018 10:22;25/06/2019 09:22
17.58-2;COMO MUDO O CNPJ DO CADASTRO?;2;INSCRIÇÃO DO CNPJ;Bom dia, a que cadastro o Sr. se refere?;10/08/2018 14:35;27/08/2018 09:09
147.11-6;Boa tarde,  o material da assembléia já está disponível?;2;provimento 16;;04/09/2018 11:45;04/09/2018 11:45
17.70-7;Em um Aditivo de Cédula Hipotecária (Rural, etc.) em que consta ?Saldo Devedor atualizado com prorrogação do prazo?, as custas para averbar no Livro n° 2 terão valor de Averbação ou de Registro? OBS: O valor que consta na Cédula é inferior ...;1;ADITIVO DE CÉDULA - CUSTAS;Prezado colega, Conforme disposto expressamente no Provimento 16/2018/CGJCE, de 24.08.2018, no item 10, alínea g, das “Notas –Registro de Imóveis”, aplicadas a Tabela VII, que trata das Cédulas de Créditos, entendemos que os emolumentos deve...;05/09/2018 08:48;10/09/2018 10:44
17.70-7;INTEGRALIZAÇÃO DE BENS IMÓVEIS AO CAPITAL SOCIAL DA PESSOA JURÍDICA - Imunidade prevista no artigo 156, § 2º, inciso I da Constituição da Republica Federativa do Brasil, ou seja, a imunidade para a incorporação de bens imóveis ao patrimônio ...;1;INTEGRALIZAÇÃO DE BENS IMÓVEIS AO CAPITAL SOCIAL;Prezado colega,   Em relação ao ITBI, entendemos que caberá ao Fisco reconhecer se a atividade desenvolvida pela empresa se enquadra ou não na exceção ou vedação legal, autorizando o reconhecimento da imunidade tributária e a consequente exped...;05/09/2018 08:52;14/09/2018 11:01
147.11-6;Teste;2;Casamento Civil;;05/09/2018 10:46;05/09/2018 10:46
147.11-6;TESTE;5;TESTE PERGUNTA;;10/09/2018 13:24;10/09/2018 13:24
17.70-7;Com relação a PERGUNTA n° 15 postada em 05/09/2018 às 08:09 referente a INTEGRALIZAÇÃO DE BENS IMÓVEIS AO CAPITAL SOCIAL, cuja REPOSTA foi dada em 14 de Setembro de 2018 às 11:09, pergunto o seguinte: Na resposta a dúvida foi dito: ?No que se refere ao problema 1, apesar de nosso entendimento ser no sentido de que a transferência de imóvel com valor superior ao que falta ser integralizado se constitui em aumento de cota de capital social, tendo em vista se tratar de empresa (sociedade limitada) registrada na Junta Comercial, o registro do imóvel se fará mediante a apresentação de uma certidão expedida pela própria Junta Comercial, para o fim específico, seja de aumento ou de integralização de capital social, não caberia pois, salvo melhor juízo, ao Oficial Registrador competente aferir no caso em comento, se o imóvel corresponde ou não às quotas subscritas pelo sócio, considerando que tal ato será de competência da Junta Comercial, que expedirá certidão para o referido registro da integralização (cf. art. 64 da Lei nº 8.934/94). No que se refere ao problema 2, primeira parte, entendemos que não há óbice para que apenas um único sócio integralize o valor total do capital social (mesmo estando o bem no nome apenas deste sócio), uma vez que todos os sócios respondem solidariamente pela integralização do capital social, a teor do artigo 1052 da Lei 10.406/2002. Contudo, tal subscrição não ilide a responsabilidade de cada sócio pelo valor de suas respectivas cotas. Ratifica-se o entendimento acima esposado acerca da necessidade de expedição de certidão da Junta para o referido registro (cf. art. 64 da Lei nº 8.934/94).? Porém, a transferência também poderá ser efetivada via ESCRITURA PÚBLICA DE INCORPORAÇÃO. Neste caso continua o mesmo entendimento no Problema 1 e 2? PROBLEMA 1: O sócio 1 pode integralizar imóvel com valor superior ao capital subscrito de R$ 200.000,00? - Sendo possível, a Imunidade prevista no artigo 156, § 2º, inciso I da CF abrange apenas até o valor do capital subscrito de R$200.000,00, e nesse caso pagaria ITBI da diferença, ou abrange o valor total do imóvel? PROBLEMA 2: O sócio 1 pode integralizar os R$400.000,00 com bens imóveis que estão apenas em seu nome? (o sócio 2 não integralizaria nada uma vez que o sócio 1 integralizou o suficiente para garantir o capital subscrito de ambos).    Agradeço de pela atenção;5;INTEGRALIZAÇÃO DE BENS IMÓVEIS AO CAPITAL SOCIAL;Quanto ao problema 1, smj, não faria sentido integralizar o capital em valor superior ao previsto no capital. O mais sensato seria a sociedade, primeiro, aumentar o capital para, posteriormente, receber o bem integralmente para fins de integralização....;14/09/2018 14:44;25/06/2019 09:25
19.31-5;Prezada Assessora,       Sirvo-me do presente para solicitar  uma orientação da Assessoria Jurídica no sentido de embasarmos nossa conduta em relação a alguns aspectos inerentes aos serviços registro de CÉDULAS DE CRÉDITO BANCÁRIO-CCB, de que...;1;CÉDULA DE CRÉDITO BANCÁRIO - LEI 10.931/2004;Estimado Registrador,   Em resposta às suas indagações buscaremos discorrer nosso entendimento acerca da matéria, salvo melhor juízo, sem contudo termos a pretensão de vincular o procedimento interno da serventia extrajudicial da qual vossa s...;02/10/2018 16:19;09/10/2018 11:57
17.70-7;"Como deve ser calculado o valor do Registro de uma Escritura de Usucapião Extrajudicial? Serão feitos 2 registros? Um para o PROCESSAMENTO (com valor de 50% do código ""7001 a 7009"") e Outro para o REGISTRO PROPRIAMENTE DITO DO USUCAPIÃO (com valo...";1;USUCAPIÃO EXTRAJUDICIAL;De acordo com o art. 26, II, do Provimento 65/2017 do CNJ, tem-se que: Art. 26. Enquanto não for editada, no âmbito dos Estados e do Distrito Federal, legislação específica acerca da fixação de emolumentos para o procedimento da usucapião extraj...;10/10/2018 11:13;25/06/2019 09:32
17.70-7;Uma Escritura Pública de Concessão de Direito Real de Superfície apresentada para registro consta que uma parte do imóvel objeto da matrícula X (não foi a área toda) foi concedida a empresa TAL, porém, em seguida, ao descrever o memorial descriti...;1;CONCESSÃO DE DIREITO REAL DE SUPERFÍCIE;Primeiramente, cumpre registrar que a análise poderá restar prejudicada em razão de não ter sido enviada qualquer documentação para análise dos detalhes do caso concreto, o que se fazia necessário diante de sua complexidade. Todavia, respondendo...;30/10/2018 10:24;25/06/2019 09:40
19.31-5;"A principio, esclarecemos que o Município de Santa Quitéria  deu início ao  que denominou  de "" Ação Fiscal "" para fiscalização dos recolhimentos do ISS nas duas Serventias desta Cidade,  no Período de Apuração de janeiro de 2013 a outubro de 2...";1;ISS - FISCALIZAÇÃO E DOCUMENTAÇÃO OBRIGATÓRIA PARA APRESENTAÇÃO/REMESSA  AO MUNICIPIO;1) considerando os artigos 22 a 24 da Lei 6.015/73, poderemos entregar para a Prefeitura Livros Diários Auxiliar, ainda que por cópia ou e-mail, para o Município, sem a devida autorização judicial (vide artigos 22 e 23). A unanimidade dos colegas en...;28/11/2018 10:02;25/04/2019 10:04
19.31-5;Indagamos dessa Associação se a dispensa das certidões fiscais estaduais e federais de que tratam os parágrafos 1º e 2º do art. 383 do Provimento 08/2014-CGJCE envolve também a apresentação de tais certidões, e não somente a  transcrição, ...;1;Escrituras Públicas de Imóveis - Dispensa de certidões fiscais estaduais e federais - § 1º e 2º do art. 383 do  Prov. 08/2014;Indagamos dessa Associação se a dispensa das certidões fiscais estaduais e federais de que tratam os parágrafos 1º e 2º do art. 383 do Provimento 08/2014-CGJCE envolve também a apresentação de tais certidões, e não somente a transcrição, com...;03/12/2018 09:38;25/04/2019 10:08
147.11-6;1 - O poder público pode desapropriar imóvel sem matrícula (apenas posse)? 2 - Posso abrir matrícula nesse caso? 3 - O Decreto de Desapropriação é o instrumento adequado para esse caso?;1;DESAPROPRIAÇÃO DE IMÓVEL;1 - O poder público pode desapropriar imóvel sem matrícula (apenas posse)? R- Entendo que sim, cabendo ao possuidor apenas discutir o valor da avaliação. A doutrina, ao posicionar-se sobre o assunto, aduz que a desapropriação da propriedade é ...;13/12/2018 08:41;13/12/2018 08:44
147.11-6;Venho através da presente solicitar de Vossa Senhoria uma orientação sobre como devo proceder em relação a transferência de um imóvel pertencente a uma entidade jurídica, mediante a narrativa a-seguir: O imóvel urbano constante de uma casa ...;1;TRANSFERÊNCIA DE IMÓVEL;A doação com cláusula de reversão se dá quando o doador, no ato da liberalidade, estabelece que o bem doado retorne ao seu patrimônio em caso de falecimento do donatário. A cláusula subordina a doação a condição resolutiva, e deve estar expre...;13/12/2018 09:30;13/12/2018 09:33
17.71-5;O Pedido de Providencias n 0001230-82.2015.2.00.0000 do CNJ determinou a dispensa de comprovação de regularidade fiscal para registro de imóveis quando necessário à atividade econômica da empresa. Dessa forma, torna-se desnecessária a certidão ne...;1;Dispensa de certidão da fazenda federal - Incorporadora de Imóveis / Imobiliaria;"RESPOSTA: Não, desde que o imóvel objeto da transação esteja contabilmente lançado no ativo circulante e não conste, nem tenha constado, do ativo permanente da empresa; Vejamos abaixo a decisão lançada no aludido Pedido de Providências, bem com...";19/12/2018 15:31;25/04/2019 10:13
17.71-5;O pedido de providencia n 0001230-82.2015.2.00.0000 do CNJ dispensou a comprovação de regularidade fiscal para o registro de imóveis quando necessário à atividade econômica da empresa. Dessa forma, indaga-se, quando a incorporadora efetuar uma vend...;1;Dispensa de certidão da fazenda federal - Incorporadora de Imóveis / Imobiliaria;;19/12/2018 15:36;19/12/2018 15:36
19.80-2;BOM DIA PRA TODOS DA ANOREG/CE,    VENHO POR MEIO DESTE, PERGUNTAR PARA OS NOBRES COLEGAS E ESPERO SANAR A MINHA DUVIDA. NÓS, DESTA SERVENTIA, NUNCA EMITIMOS 2ª VIAS DE CASAMENTO GRATUITO POR ENTENDER QUE O SELO 9 DA GRATUIDADE É SOMENTE PARA EMISS...;2;SOBRE EMISSÃO DE 2ª VIAS DE CASAMENTO GRATUITO;RESPOSTA: O parágrafo 1º do artigo 30 da Lei 6.015/73 prevê que os reconhecidamente pobres estão isentos de pagamento de emolumentos pelas demais certidões extraídas pelo cartório de registro civil, incluindo aqui a de casamento. Para tal, basta s...;07/02/2019 10:31;25/04/2019 10:16
17.70-7;"Como ficou a questão das custas para registro do IDACE? Consta na lei Estadual 16.397/2017 que para as alíneas ""A e D"" serão cobrados 76,06 UFIRCE, mais o valor dos outros atos, enquanto que no Provimento n° 16/2018/CGJCE no item 7.6, informa que ...";1;REGISTRO DO IDACE;A interpretação jurídica para a composição dos emolumentos do arquivamento dos títulos do IDACE no fólio real tem sido um dos assuntos mais priorizados por estas Entidades de Classe, visto que tanto o Prov. 16/2018 (que revogou o 14/2018) e os dem...;18/02/2019 10:33;21/02/2019 08:56
16.66-7;Bom dia, Onde posso requisitar o material para emissão dos assentos e certidões segundas vias. Verlene. Urgente.  ;2;FORMULÁRIO PARA EMISSÃO DE CERTIDÃO;Informamos que Anoreg/CE firmou convênio com a Indústria Gráfica Brasileira Ltda. Poderá acessar o link http://www.cartoriosigb.com.br/loja-virtual.html Contato: Sr. Paulo Agapito 11-4166.2300 ou cel 11-96789.1463;19/02/2019 11:30;20/02/2019 09:22
18.56-4;Recebi da Central de Informações do Registro Civil - CRC uma mensagem indicando a falta de carga em CPF apresentando matrícula do CNJ e solicitando a devida atualização. Pediria uma orientação sobre o assunto.    ;2;CPFs pendente de carga;Prezado Consulente, Parece-nos que o sistema tecnológico da C.R.C., quando da alimentação do envio de INFORMAÇÕES/CERTIDÕES pelos Cartórios de Registros Civis das Pessoas Naturais de todo o país, está apresentando DOIS (02) PROBLEMAS/PENDÊNC...;20/02/2019 10:16;14/03/2019 12:59
17.70-7;Conforme item 18. Prenotação ? Código 7025, constante do Prov. 16/2018 para cada título apresentado para registro corresponde uma prenotação independentemente da quantidade de imóveis envolvidos no título. DÚVIDA: Caso seja recebido 1 (um) R...;1;PRENOTAÇÃO - REQUERIMENTO OU TÍTULOS?;Prezado colega, Conforme o Provimento 16/2018 da CGJ/CE, a cobrança de custas de prenotação (7025) deverá ser feita pela quantidade de títulos apresentados para registro, independentemente da quantidade de imóveis envolvidos. Deste modo, caso...;22/02/2019 11:49;25/02/2019 10:10
17.70-7;1 - Como deve ser calculado o valor do REGISTRO de uma Escritura de Usucapião Extrajudicial? Quais atos são cobrados?   2 - Se possível (para facilitar o entendimento) quanto ficaria o valor se o imóvel fosse avaliado por R$ 10.000,00 (dez mil reai...;1;REGISTRO DE USUCAPIÃO EXTRAJUDICIA;De acordo com o art. 26, II, do Provimento 65/2017 do CNJ, tem-se que: Art. 26. Enquanto não for editada, no âmbito dos Estados e do Distrito Federal, legislação específica acerca da fixação de emolumentos para o procedimento da usucapião extraj...;07/03/2019 10:20;25/06/2019 09:43
17.70-7;1 - Como deve ser calculado o valor do REGISTRO de uma Escritura de Usucapião Extrajudicial? Quais atos são cobrados?   2 - Se possível (para facilitar o entendimento) quanto ficaria o valor se o imóvel fosse avaliado por R$ 10.000,00 (dez mil reai...;1;REGISTRO DE USUCAPIÃO EXTRAJUDICIAL;;07/03/2019 10:21;07/03/2019 10:21
17.84-8;Bom dia! Prezada Dra. Helena Jacéa, Venho solicitar de V. Senhoria, orientações sobre as cobranças dos emolumentos, referente aos registros do IDACE ? Instituto do Desenvolvimento Agrário do Ceará. Segundo o Ofício Circular de nº 003/2018...;1;Cobrança de Emolumentos - IDACE;Estimada Edclésia, A interpretação jurídica para a composição dos emolumentos do arquivamento dos títulos do IDACE no fólio real tem sido um dos assuntos mais priorizados por estas Entidades de Classe, visto que tanto o Prov. 16/2018 (que revogo...;28/03/2019 09:31;03/04/2019 10:00
17.70-7;Na certidão de inteiro da matrícula do imóvel cobra-se: 7020 + 7019 (1 busca para cada cinco anos até o limite de 4) + 5023 (até o limite de 3). Dúvida: caso a matrícula tenha mais de 30 anos e contenha 400 páginas o cartório pode cobrar pel...;1;CERTIDÃO DE INTEIRO TEOR DA MATRÍCULA;Infelizmente, nesses casos, o Oficial acaba, de fato, suportando um prejuízo, haja vista que são várias folhas a serem impressas. Pelo fato de o Oficial não poder cobrar além do que prevê a tabela de emolumentos e suas notas explicativas, devem ser...;29/03/2019 10:36;22/04/2019 09:58
18.20-0;Bom dia. Gostaria de uma orientação. Uma pessoa quando foi registrada, o nome de sua mãe era de solteira, sua mãe casou e passou a assinar com nome de casada, eu posso fazer a alteração do nome da mãe da registrada para colocar o nome de casada ad...;2;ALTERAÇÕES NO REGISTRO DE NASCIMENTO;"Prezado Registrador, Sobre as retificações, a LRP assim dispõe: RETIFICAÇÃO Lei 6015/73 – Lei de Registros Públicos - Art. 110 (Redação dada pela Lei nº 13.484, de 2017) O oficial retificará: • O registro, a averbação ou a anotação; •...";03/04/2019 08:15;25/04/2019 15:20
20.50-3;Boa tarde, Gostaria de saber se a Lei n.º 8.560, de 29/12/1992, do Art. 3º - É vedado legitimar e reconhecer filho na ata do casamento. Parágrafo Único. É ressalvado o direito de averbar alteração do patronímico materno, em decorrência do casa...;2;Lei 8.560 de 29/12/1992;De acordo com a redação do dispositivo legal mencionado, parece razoável o entendimento de que a alteração do patronímico materno, em decorrência do casamento não importa em modificação do prenome do filho, não importando, portanto, em caso de...;30/04/2019 15:47;04/06/2019 11:28
15.68-5;Boa tarde. Na matrícula do imóvel tem a averbação de construção da casa com 150,00m² de área construída. A prefeitura verificou que na realidade a casa mede uma área bem menor. Para fazer a alteração da área construída basta fazer uma aver...;1;Averbação de Construção de Imóveis;Na minha opinião sim. Não há área a ser demolida, portanto não creio que a Prefeitura fornecesse certidão em desconformidade com a atual descrição do imóvel. O ideal (a título de sugestão) seria a Prefeitura enviar ao imóvel o funcionário qu...;30/05/2019 16:11;01/06/2019 10:13
